describe,introduce,invaluate,movie_name,serial_number,star
希望让人自由。,1994/美国/犯罪剧情,1220094人评价,肖申克的救赎,1,9.6
风华绝代。,1993/中国大陆香港/剧情爱情同性,897570人评价,霸王别姬,2,9.6
怪蜀黍和小萝莉不得不说的故事。,1994/法国/剧情动作犯罪,1123196人评价,这个杀手不太冷,3,9.4
一部美国近现代史。,1994/美国/剧情爱情,962014人评价,阿甘正传,4,9.4
最美的谎言。,1997/意大利/剧情喜剧爱情战争,562218人评价,美丽人生,5,9.5
失去的才是永恒的。 ,1997/美国/剧情爱情灾难,898075人评价,泰坦尼克号,6,9.3
最好的宫崎骏，最好的久石让。 ,2001/日本/剧情动画奇幻,889850人评价,千与千寻,7,9.3
拯救一个人，就是拯救整个世界。,1993/美国/剧情历史战争,504908人评价,辛德勒的名单,8,9.5
诺兰给了我们一场无法盗取的梦。,2010/美国英国/剧情科幻悬疑冒险,977623人评价,盗梦空间,9,9.3
小瓦力，大人生。,2008/美国/爱情科幻动画冒险,648951人评价,机器人总动员,10,9.3
永远都不能忘记你所爱的人。,2009/美国英国/剧情,634340人评价,忠犬八公的故事,11,9.3
英俊版憨豆，高情商版谢耳朵。,2009/印度/剧情喜剧爱情歌舞,875963人评价,三傻大闹宝莱坞,12,9.2
每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,1998/意大利/剧情音乐,730602人评价,海上钢琴师,13,9.2
天籁一般的童声，是最接近上帝的存在。 ,2004/法国瑞士德国/剧情音乐,602532人评价,放牛班的春天,14,9.2
一生所爱。,1995/香港中国大陆/喜剧爱情奇幻冒险,667847人评价,大话西游之大圣娶亲,15,9.2
如果再也不能见到你，祝你早安，午安，晚安。,1998/美国/剧情科幻,646897人评价,楚门的世界,16,9.2
千万不要记恨你的对手，这样会让你失去理智。,1972/美国/剧情犯罪,443431人评价,教父,17,9.2
爱是一种力量，让我们超越时空感知它的存在。,2014/美国英国加拿大冰岛/剧情科幻冒险,661338人评价,星际穿越,18,9.2
人人心中都有个龙猫，童年就永远不会消失。,1988/日本/动画奇幻冒险,544913人评价,龙猫,19,9.1
我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,2011/韩国/剧情,376044人评价,熔炉,20,9.3
香港电影史上永不过时的杰作。,2002/香港/剧情犯罪悬疑,547072人评价,无间道,21,9.1
平民励志片。 ,2006/美国/剧情传记家庭,707999人评价,当幸福来敲门,22,9.0
满满温情的高雅喜剧。,2011/法国/剧情喜剧,470559人评价,触不可及,23,9.2
真正的幸福是来自内心深处。,2010/美国/剧情喜剧爱情,763310人评价,怦然心动,24,9.0
Tomorrow is another day.,1939/美国/剧情历史爱情战争,336143人评价,乱世佳人,25,9.2
迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,2016/美国/喜剧动画冒险,726949人评价,疯狂动物城,26,9.2
无尽的黑暗。,2008/美国英国/剧情动作科幻犯罪惊悚,438672人评价,蝙蝠侠：黑暗骑士,27,9.1
张艺谋最好的电影。,1994/中国大陆香港/剧情历史家庭,363035人评价,活着,28,9.1
那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,1988/意大利法国/剧情爱情,368799人评价,天堂电影院,29,9.1
瑰丽壮观、无人能及的冒险之旅。,2012/美国台湾英国加拿大/剧情奇幻冒险,725116人评价,少年派的奇幻漂流,30,9.0
1957年的理想主义。 ,1957/美国/剧情,216201人评价,十二怒汉,31,9.4
对敌人的仁慈，就是对自己残忍。,2000/中国大陆/剧情历史战争,300608人评价,鬼子来了,32,9.2
史诗的终章。,2003/美国新西兰/剧情动作奇幻冒险,359946人评价,指环王3：王者无敌,33,9.1
比利·怀德满分作品。,1957/美国/剧情犯罪悬疑,146590人评价,控方证人,34,9.6
邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,1999/美国德国/剧情动作悬疑惊悚,474682人评价,搏击俱乐部,35,9.0
对天空的追逐，永不停止。 ,1986/日本/动画奇幻冒险,418467人评价,天空之城,36,9.0
最后那些最无聊的事情，才是最值得怀念的。 ,2009/美国/剧情喜剧动画冒险,639645人评价,飞屋环游记,37,8.9
旷古烁今。,1995/香港中国大陆/喜剧爱情奇幻冒险,537595人评价,大话西游之月光宝盒,38,8.9
爱情哪怕只有一天。,1953/美国/喜剧剧情爱情,484179人评价,罗马假日,39,9.0
你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,2016/印度/剧情传记运动家庭,651455人评价,摔跤吧！爸爸,40,9.1
别样人生。,2006/德国/剧情悬疑,286599人评价,窃听风暴,41,9.1
电影的现实意义大过电影本身。,2013/韩国/剧情,284541人评价,辩护人,42,9.2
带着心爱的人在天空飞翔。,2004/日本/动画奇幻冒险,453933人评价,哈尔的移动城堡,43,8.9
史上最美的探戈。,1992/美国/剧情,411122人评价,闻香识女人,44,9.0
4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,1998/英国/剧情喜剧犯罪,325376人评价,两杆大烟枪,45,9.1
自由万岁。,1975/美国/剧情,329705人评价,飞越疯人院,46,9.0
当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,1989/美国/剧情,352518人评价,死亡诗社,47,9.0
一张面具背后的理想与革命。,2005/美国英国德国/剧情动作科幻惊悚,533224人评价,V字仇杀队,48,8.8
海豚的微笑，是世界上最高明的伪装。,2009/美国/纪录片,216798人评价,海豚湾,49,9.3
优雅的孤独。,1974/美国/剧情犯罪,239788人评价,教父2,50,9.1
承前启后的史诗篇章。,2002/美国新西兰/剧情动作奇幻冒险,337521人评价,指环王2：双塔奇兵,51,9.0
传说的开始。,2001/新西兰美国/剧情动作奇幻冒险,377983人评价,指环王1：魔戒再现,52,8.9
爱是一切逻辑和原由。,2001/美国/传记剧情,375711人评价,美丽心灵,53,8.9
人生不能像做菜，把所有的料都准备好了才下锅。,1994/台湾美国/剧情家庭,259686人评价,饮食男女,54,9.1
暗恋的极致。,1995/日本/剧情爱情,464274人评价,情书,55,8.8
受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,2013/韩国/剧情,245726人评价,素媛,56,9.1
动物版《哈姆雷特》。,1994/美国/剧情动画冒险歌舞家庭,356303人评价,狮子王,57,8.9
音乐能化解仇恨。,2002/法国德国英国波兰/剧情传记历史战争音乐,247953人评价,钢琴家,58,9.1
往事如烟，无处祭奠。,1984/意大利美国/犯罪剧情,213420人评价,美国往事,59,9.1
奔跑的孩子是天使。,1997/伊朗/剧情家庭儿童,179539人评价,小鞋子,60,9.2
“不要跟我比惨，我比你更惨”再适合这部电影不过了。,1987/英国意大利中国大陆法国美国/剧情传记历史,248796人评价,末代皇帝,61,9.1
警察抓小偷，老鼠玩死猫。,1995/美国/剧情犯罪悬疑惊悚,517326人评价,七宗罪,62,8.8
以戏谑来戏谑戏谑。,2006/日本/剧情歌舞,372919人评价,被嫌弃的松子的一生,63,8.9
在时间之河里感受溺水之苦。,2008/美国/剧情爱情奇幻,482072人评价,本杰明·巴顿奇事,64,8.8
孪生蝙蝠侠大战克隆金刚狼。,2006/美国英国/剧情悬疑惊悚,422629人评价,致命魔术,65,8.8
美丽无罪。,2000/意大利美国/剧情战争情色,449219人评价,西西里的美丽传说,66,8.8
视觉革命。,1999/美国澳大利亚/动作科幻,355292人评价,黑客帝国,67,8.9
法式小清新。 ,2001/法国德国/喜剧爱情,575684人评价,天使爱美丽,68,8.7
